Comment,Designator,Footprint,LCSC,Quantity
TMUX1108PWR,"U91,U92",TSSOP-16_L5.0-W4.4-P0.65-LS6.4-BL,C1021800,2
2.2u,"C7102,C7112,C712,C7122,C7132,C7142,C7152,C7162,C722,C732,C742,C752,C762,C772,C782,C792,C92,C94,C96",C_0603_1608Metric,C106213,19
3.16k,"R32,R43,R44",R_0402_1005Metric,C11462,3
2.2Mega,"R41,R42",R_0402_1005Metric,C11490,2
1k,R101,R_0402_1005Metric,C11702,1
533980271,J11,MOLEX_533980271,C122410,1
330,R102,R_0402_1005Metric,C12246,1
0.1u,"C41,C45",C_0402_1005Metric,C1525,2
1u,"C101,C113,C131,C132,C43,C44",C_0402_1005Metric,C15684,6
1n,"C51,C52",C_0603_1608Metric,C1588,2
12pF,"C121,C1216,C1217,C122",CAPC1005X04L,C161304,4
1.74k,R31,R_0402_1005Metric,C163482,1
100M,"R7101,R711,R7111,R7121,R7131,R7141,R7151,R7161,R721,R731,R741,R751,R761,R771,R781,R791",R_0805_2012Metric,C169373,16
0,R125,R_0402_1005Metric,C17168,1
2450AT07A0100001T,ANT121,ANT-SMD_4P-L1.0-W0.5_2450AT07A0100001T,C17531353,1
nRF52840-QIAA,U121,AQFN50P700X700X85_HS-74N,C190794,1
TPS22910AYZVR,U132,DSBGA-4_L0.9-W0.9-R2-C2-P0.50-BL,C205966,1
OPA320AIDBVT,U22,SOT-23-5_L2.9-W1.6-P0.95-LS2.8-BL,C206063,1
TPS62840DLCR,U31,VSON-8_L2.0-W1.5-P0.50-BL,C2071859,1
REF3330AIDCKR,U21,SC-70-3_L2.0-W1.3-P0.65-LS2.1-BL,C2157700,1
K3-1280S-L1,SW11,SW_Nidec_CAS-120A1,C223845,1
6.81k,"R8102,R8112,R812,R8122,R8132,R8142,R8152,R8162,R822,R832,R842,R852,R862,R872,R882,R892",R_0402_1005Metric,C227202,16
1M,"R7103,R7113,R7123,R713,R7133,R7143,R7153,R7163,R723,R733,R743,R753,R763,R773,R783,R793",R_0603_1608Metric,C22935,16
820pF,C1213,CAPC1005X04L,C237511,1
ESD9M5.0ST5G,"D61,D62,D63",SODFL1060X40N,C242267,3
1,R111,R_0402_1005Metric,C25086,1
22,"R112,R121,R122,R123,R124,R21,R45,R61,R62,R63,R91",R_0402_1005Metric,C25092,11
249,R103,R_0402_1005Metric,C25096,1
33,"R113,R114,R115",R_0402_1005Metric,C25105,3
10k,"R131,R64,R7102,R7112,R712,R7122,R7132,R7142,R7152,R7162,R722,R732,R742,R752,R762,R772,R782,R792",R_0402_1005Metric,C25744,18
12.0k,R134,R_0402_1005Metric,C25752,1
47k,"R65,R66",CAPC1005X04L,C25792,2
12.1k,R132,R_0402_1005Metric,C25852,1
2.2k,R133,R_0402_1005Metric,C25879,1
5.1k,"R51,R52",R_0402_1005Metric,C25905,2
100pF,C1215,CAPC1005X04L,C26409,1
TPS7A2033PDBVR,U11,SOT-23-5_L2.9-W1.6-P0.95-LS2.8-BR,C2862740,1
BQ25100AYFPR,U131,DSBGA-6_L0.9-W1.6-R2-C3-P0.40-BL,C2871910,1
1u,"C114,C125,C129,C15,C16,C21,C22,C23,C33,C34,C35,C36,C42,C46,C8101,C811,C8111,C8121,C8131,C8141,C8151,C8161,C821,C831,C841,C851,C861,C871,C881,C891",C_0603_1608Metric,C29936,30
SZYY1615RGB-B 4PIN,D101,LED-SMD_4P-L1.6-W1.5-TR-1,C3029071,1
OPA333AIDBVR,U41,SOT-23-5_L3.0-W1.7-P0.95-LS2.8-BR,C30878,1
PRTR5V0U2X,D51,SOT-143,C316030,1
DFE201612E-2R2M=P2,L1,L0806,C337893,1
1.5u,"C8102,C8112,C812,C8122,C8132,C8142,C8152,C8162,C822,C832,C842,C852,C862,C872,C882,C892",C_0603_1608Metric,C361193,16
TMUX1248DCKR,U93,SC-70-6_L2.0-W1.3-P0.65-LS2.2-BL,C3656915,1
X201632MMB4SI,X121,CRYSTAL-SMD_4P-L2.0-W1.6-BL,C383840,1
4.7µF,"C123,C126,C127,C31",CAPC1608X06L,C389010,4
TYPE-C16PIN,J51,CONN16_C16PIN_SHN,C393939,1
TLV9001IDBVR,"U32,U42",SOT-23-5_L3.0-W1.7-P0.95-LS2.8-BR,C398363,2
TPS7A2018YCKR,U33,BGA-4_L0.6-W0.6-P0.35-R2-C2-TL_TPS7A2012PYCJR,C41613873,1
0.1u,C111,C_0603_1608Metric,C45000,1
4.42k,"R8101,R811,R8111,R8121,R8131,R8141,R8151,R8161,R821,R831,R841,R851,R861,R871,R881,R891",R_0402_1005Metric,C52269,16
FTSH-105-01-F-DV-K,H61,HDR-SMD_FTSH-105-01-F-DV-K,C5382952,1
ADS8867IDRCR,U111,WSON-10_L3.0-W3.0-P0.50-BL-EP,C545498,1
OPA2392YBJR,"U7101,U711,U7111,U7121,U7131,U7141,U7151,U7161,U721,U731,U741,U751,U761,U771,U781,U791",DSBGA-9_L1.2-W1.2-R3-C3-P0.40-BL,C5946032,16
100nF,"C1210,C1214,C124,C128,C13,C14,C49,C61,C7101,C711,C7111,C7121,C7131,C7141,C7151,C7161,C721,C731,C741,C751,C761,C771,C781,C791,C91,C93,C95",CAPC1005X04L,C71629,27
32.768kHz,X122,CRYSTAL-SMD_L2.0-W1.2,C7462219,1
BLM18EG101TN1D,"FL11,FL51",BEADC1608X65N,C76893,2
0.5pF,C1212,CAPC1005X04L,C76911,1
0.8pF,C1211,CAPC1005X04L,C76915,1
1n,"C11,C12,C98",C_0402_1005Metric,C76947,3
47n,C97,C_0402_1005Metric,C77012,1
10u,"C112,C32,C410",C_0603_1608Metric,C77044,3
0.47u,C24,C_0603_1608Metric,C77052,1
4.7nH,L121,INDC1005X04L,C86065,1
TestPoint,TP2,TestPoint_Pad_1.0x1.0mm,,1
TestPoint,TP1,TestPoint_Pad_1.0x1.0mm,,1
TestPoint,TP3,TestPoint_Pad_1.0x1.0mm,,1
NC,C47,C_0402_1005Metric,,1
NC,C48,C_0603_1608Metric,,1
NC,L122,L_0402_1005Metric,,1
NC,L123,L_0402_1005Metric,,1
